Cod;Campus;Curso;Grau;Turno;Ano;;
59;CUIABÁ;MEDICINA - BACHARELADO;BACHARELADO;INTEGRAL;2017
60;CUIABÁ;MÚSICA - CANTO - BACHARELADO;BACHARELADO;VESPERTINO;2017
61;CUIABÁ;MÚSICA - CLARINETE - BACHARELADO;BACHARELADO;VESPERTINO;2017
62;CUIABÁ;MÚSICA - COMPOSIÇÃO - BACHARELADO;BACHARELADO;VESPERTINO;2017
63;CUIABÁ;MÚSICA - REGÊNCIA - BACHARELADO;BACHARELADO;VESPERTINO;2017
64;CUIABÁ;MÚSICA - VIOLÃO - BACHARELADO;BACHARELADO;VESPERTINO;2017
65;CUIABÁ;MÚSICA - VIOLINO - BACHARELADO;BACHARELADO;VESPERTINO;2017
66;CUIABÁ;MÚSICA - LICENCIATURA;LICENCIATURA;VESPERTINO;2017
67;CUIABÁ;NUTRIÇÃO - BACHARELADO;BACHARELADO;INTEGRAL;2017
68;CUIABÁ;PEDAGOGIA - LICENCIATURA;LICENCIATURA;MATUTINO;2017
69;CUIABÁ;PEDAGOGIA - LICENCIATURA;LICENCIATURA;VESPERTINO;2017
70;CUIABÁ;PSICOLOGIA - BACHARELADO;BACHARELADO;INTEGRAL;2017
71;CUIABÁ;QUÍMICA - BACHARELADO;BACHARELADO;INTEGRAL;2017
72;CUIABÁ;QUÍMICA - LICENCIATURA;LICENCIATURA;INTEGRAL;2017
73;CUIABÁ;SAÚDE COLETIVA - BACHARELADO;BACHARELADO;NOTURNO;2017
74;CUIABÁ;SERVIÇO SOCIAL - BACHARELADO;BACHARELADO;MATUTINO;2017
75;CUIABÁ;SISTEMAS DE INFORMAÇÃO - BACHARELADO;BACHARELADO;NOTURNO;2017
76;CUIABÁ;ZOOTECNIA - BACHARELADO;BACHARELADO;INTEGRAL;2017
77;PONTAL DO ARAGUAIA;CIÊNCIAS BIOLÓGICAS - LICENCIATURA;LICENCIATURA;NOTURNO;2017
78;PONTAL DO ARAGUAIA;EDUCAÇÃO FÍSICA - LICENCIATURA;LICENCIATURA;INTEGRAL;2017
79;PONTAL DO ARAGUAIA;ENFERMAGEM - BACHARELADO;BACHARELADO;INTEGRAL;2017
80;PONTAL DO ARAGUAIA;ENGENHARIA DE ALIMENTOS - BACHARELADO;BACHARELADO;INTEGRAL;2017
81;PONTAL DO ARAGUAIA;FARMÁCIA - BACHARELADO;BACHARELADO;INTEGRAL;2017
82;PONTAL DO ARAGUAIA;FÍSICA - LICENCIATURA;LICENCIATURA;NOTURNO;2017
83;PONTAL DO ARAGUAIA;MATEMÁTICA - LICENCIATURA;LICENCIATURA;NOTURNO;2017
84;PONTAL DO ARAGUAIA;QUÍMICA - LICENCIATURA;LICENCIATURA;NOTURNO;2017
85;RONDONÓPOLIS;ADMINISTRAÇÃO - BACHARELADO;BACHARELADO;MATUTINO;2017
86;RONDONÓPOLIS;ADMINISTRAÇÃO - BACHARELADO;BACHARELADO;NOTURNO;2017
87;RONDONÓPOLIS;BIBLIOTECONOMIA - BACHARELADO;BACHARELADO;NOTURNO;2017
88;RONDONÓPOLIS;CIÊNCIAS BIOLÓGICAS - BACHARELADO;BACHARELADO;INTEGRAL;2017
89;RONDONÓPOLIS;CIÊNCIAS BIOLÓGICAS - LICENCIATURA;LICENCIATURA;NOTURNO;2017
90;RONDONÓPOLIS;CIÊNCIAS BIOLÓGICAS - LICENCIATURA;LICENCIATURA;VESPERTINO;2017
91;RONDONÓPOLIS;CIÊNCIAS CONTÁBEIS - BACHARELADO;BACHARELADO;MATUTINO;2017
92;RONDONÓPOLIS;CIÊNCIAS CONTÁBEIS - BACHARELADO;BACHARELADO;NOTURNO;2017
93;RONDONÓPOLIS;CIÊNCIAS ECONÔMICAS - BACHARELADO;BACHARELADO;NOTURNO;2017
94;RONDONÓPOLIS;ENFERMAGEM - BACHARELADO;BACHARELADO;INTEGRAL;2017
95;RONDONÓPOLIS;ENGENHARIA AGRÍCOLA E AMBIENTAL - BACHARELADO;BACHARELADO;INTEGRAL;2017
96;RONDONÓPOLIS;ENGENHARIA MECÂNICA - BACHARELADO;BACHARELADO;INTEGRAL;2017
97;RONDONÓPOLIS;GEOGRAFIA - LICENCIATURA;LICENCIATURA;NOTURNO;2017
98;RONDONÓPOLIS;HISTÓRIA - LICENCIATURA;LICENCIATURA;MATUTINO;2017
99;RONDONÓPOLIS;HISTÓRIA - LICENCIATURA;LICENCIATURA;NOTURNO;2017
100;RONDONÓPOLIS;INFORMÁTICA - LICENCIATURA;LICENCIATURA;MATUTINO;2017
101;RONDONÓPOLIS;LETRAS - LÍNGUA E LITERATURAS DE LÍNGUA INGLESA - LICENCIATURA;LICENCIATURA;MATUTINO;2017
102;RONDONÓPOLIS;LETRAS - LÍNGUA PORTUGUESA - LICENCIATURA;LICENCIATURA;MATUTINO;2017
103;RONDONÓPOLIS;LETRAS - LÍNGUA PORTUGUESA - LICENCIATURA;LICENCIATURA;VESPERTINO;2017
104;RONDONÓPOLIS;MATEMÁTICA - LICENCIATURA;LICENCIATURA;NOTURNO;2017
105;RONDONÓPOLIS;MATEMÁTICA - LICENCIATURA;LICENCIATURA;VESPERTINO;2017
106;RONDONÓPOLIS;MEDICINA - BACHARELADO;BACHARELADO;INTEGRAL;2017
107;RONDONÓPOLIS;PEDAGOGIA - LICENCIATURA;LICENCIATURA;MATUTINO;2017
108;RONDONÓPOLIS;PSICOLOGIA - BACHARELADO;BACHARELADO;INTEGRAL;2017
109;RONDONÓPOLIS;SISTEMAS DE INFORMAÇÃO - BACHARELADO;BACHARELADO;NOTURNO;2017
110;RONDONÓPOLIS;ZOOTECNIA - BACHARELADO;BACHARELADO;INTEGRAL;2017
111;SINOP;AGRONOMIA - BACHARELADO;BACHARELADO;INTEGRAL;2017
112;SINOP;CIÊNCIAS NATURAIS E MATEMÁTICA - FÍSICA - LICENCIATURA;LICENCIATURA;NOTURNO;2017
113;SINOP;CIÊNCIAS NATURAIS E MATEMÁTICA - MATEMÁTICA - LICENCIATURA;LICENCIATURA;NOTURNO;2017
114;SINOP;CIÊNCIAS NATURAIS E MATEMÁTICA - QUÍMICA - LICENCIATURA;LICENCIATURA;NOTURNO;2017
115;SINOP;ENFERMAGEM - BACHARELADO;BACHARELADO;INTEGRAL;2017
116;SINOP;ENGENHARIA AGRÍCOLA E AMBIENTAL - BACHARELADO;BACHARELADO;INTEGRAL;2017
117;SINOP;ENGENHARIA FLORESTAL - BACHARELADO;BACHARELADO;INTEGRAL;2017
118;SINOP;FARMÁCIA - BACHARELADO;BACHARELADO;INTEGRAL;2017
119;SINOP;MEDICINA VETERINÁRIA - BACHARELADO;BACHARELADO;INTEGRAL;2017
120;SINOP;MEDICINA - BACHARELADO;BACHARELADO;INTEGRAL;2017
121;SINOP;ZOOTECNIA - BACHARELADO;BACHARELADO;INTEGRAL;2017
122;VÁRZEA GRANDE;ENGENHARIA DE COMPUTAÇÃO - BACHARELADO;BACHARELADO;INTEGRAL;2017
123;VÁRZEA GRANDE;ENGENHARIA DE CONTROLE E AUTOMAÇÃO - BACHARELADO;BACHARELADO;INTEGRAL;2017
124;VÁRZEA GRANDE;ENGENHARIA DE MINAS - BACHARELADO;BACHARELADO;INTEGRAL;2017
125;VÁRZEA GRANDE;ENGENHARIA DE TRANSPORTES - BACHARELADO;BACHARELADO;INTEGRAL;2017
126;VÁRZEA GRANDE;ENGENHARIA QUÍMICA - BACHARELADO;BACHARELADO;INTEGRAL;2017
127;TODOS;TODOS;TODOS;TODOS;2017
128;CUIABÁ;TODOS;TODOS;TODOS;2017
129;RONDONÓPOLIS;TODOS;TODOS;TODOS;2017
130;SINOP;TODOS;TODOS;TODOS;2017
131;VÁRZEA GRANDE;TODOS;TODOS;TODOS;2017
132;PONTAL DO ARAGUAIA;TODOS;TODOS;TODOS;2017
133;BARRA DO GARÇAS;TODOS;TODOS;TODOS;2017;;
